"Região","Área","Ocupação","Opinião","Renda","Idade"
"Catamarca","Educação","Profissional liberal","Péssimo",3.62,51
"Aquitânia","Saúde pública","Empresário","Péssimo",6.1,48
"Dalmácia","Segurança pública","Profissional liberal","Péssimo",2.84,39
"Dalmácia","Educação","Assalariado/Autônomo","Excelente",1.68,18
"Dalmácia","Segurança pública","Profissional liberal","Insatisfatório",2.3,29
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.1,32
"Dalmácia","Educação","Funcionário público","Indiferente",1.95,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.08,35
"Dalmácia","Educação","Funcionário público","Satisfatório",1.75,24
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.63,35
"Catamarca","Educação","Profissional liberal","Péssimo",2.97,38
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.26,33
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",3.62,30
"Querétaro","Educação","Funcionário público","Insatisfatório",2.65,33
"Catamarca","Segurança pública","Profissional liberal","Péssimo",4.78,33
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.15,18
"Dalmácia","Educação","Funcionário público","Indiferente",3.07,26
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.22,34
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",2.01,21
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.39,34
"Catamarca","Segurança pública","Empresário","Péssimo",2.31,38
"Dalmácia","Educação","Desempregado","Indiferente",1.97,24
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.55,26
"Dalmácia","Educação","Aposentado","Excelente",1.45,22
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.52,43
"Catamarca","Educação","Desempregado","Insatisfatório",4.39,30
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.53,41
"Catamarca","Saúde pública","Empresário","Indiferente",1.37,40
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.06,42
"Dalmácia","Educação","Profissional liberal","Insatisfatório",2.25,36
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.06,21
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.94,25
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",4.4,26
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",5.53,43
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.21,18
"Querétaro","Infraestrutura","Assalariado/Autônomo","Indiferente",2.06,31
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.89,35
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.93,39
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",2.01,22
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.86,33
"Nortúmbria","Educação","Desempregado","Excelente",1.07,18
"Catamarca","Saúde pública","Profissional liberal","Péssimo",2.15,40
"Dalmácia","Educação","Profissional liberal","Indiferente",1.38,30
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.89,37
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.78,42
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.62,35
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.43,35
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.22,31
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.8,37
"Aquitânia","Saúde pública","Empresário","Péssimo",11.16,64
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.04,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.83,24
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",4.91,43
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.82,37
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",7,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.69,35
"Catamarca","Segurança pública","Profissional liberal","Péssimo",9.08,47
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",3.77,52
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.29,24
"Dalmácia","Educação","Aposentado","Excelente",1.25,28
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.92,29
"Dalmácia","Educação","Funcionário público","Indiferente",2.84,30
"Nortúmbria","Educação","Funcionário público","Satisfatório",1.28,28
"Catamarca","Saúde pública","Profissional liberal","Péssimo",2.5,47
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.38,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.23,35
"Catamarca","Educação","Funcionário público","Péssimo",3.31,34
"Dalmácia","Educação","Desempregado","Indiferente",2.27,24
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.89,41
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.55,19
"Catamarca","Segurança pública","Assalariado/Autônomo","Indiferente",2.89,42
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.19,24
"Dalmácia","Educação","Empresário","Indiferente",2.77,39
"Aquitânia","Saúde pública","Empresário","Péssimo",8.49,45
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.22,24
"Dalmácia","Segurança pública","Profissional liberal","Insatisfatório",2.44,34
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.73,37
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.05,39
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.45,29
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.04,18
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.12,36
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.56,22
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.17,27
"Querétaro","Saúde pública","Funcionário público","Indiferente",2.23,34
"Nortúmbria","Educação","Desempregado","Satisfatório",1.97,18
"Dalmácia","Educação","Aposentado","Satisfatório",1.41,29
"Nortúmbria","Educação","Aposentado","Excelente",1.18,18
"Catamarca","Educação","Profissional liberal","Insatisfatório",2.99,42
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.09,18
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",3.87,48
"Catamarca","Saúde pública","Assalariado/Autônomo","Indiferente",1.94,37
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.34,45
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.26,39
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",5.19,37
"Dalmácia","Educação","Aposentado","Indiferente",2.06,29
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.2,29
"Nortúmbria","Educação","Aposentado","Excelente",1.23,22
"Catamarca","Saúde pública","Assalariado/Autônomo","Indiferente",2.68,30
"Aquitânia","Saúde pública","Assalariado/Autônomo","Insatisfatório",4.18,41
"Dalmácia","Educação","Aposentado","Indiferente",2.46,23
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.26,29
"Catamarca","Saúde pública","Aposentado","Insatisfatório",3.08,28
"Dalmácia","Educação","Aposentado","Indiferente",1.51,28
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",3.58,49
"Nortúmbria","Educação","Aposentado","Excelente",1.12,18
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.4,45
"Catamarca","Educação","Empresário","Péssimo",4.73,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.9,23
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.45,29
"Catamarca","Infraestrutura","Empresário","Insatisfatório",2.74,39
"Dalmácia","Educação","Aposentado","Indiferente",1.82,19
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.46,27
"Dalmácia","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.49,31
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.39,35
"Dalmácia","Educação","Funcionário público","Indiferente",1.49,27
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.4,43
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",3.28,36
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",6.9,51
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",3.63,28
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.67,43
"Aquitânia","Segurança pública","Empresário","Péssimo",7.38,41
"Aquitânia","Saúde pública","Empresário","Péssimo",12.23,70
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.81,39
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.45,27
"Dalmácia","Segurança pública","Funcionário público","Indiferente",1.74,29
"Dalmácia","Educação","Funcionário público","Indiferente",1.28,28
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.89,45
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.02,31
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.33,28
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.54,52
"Dalmácia","Educação","Desempregado","Satisfatório",2.03,18
"Dalmácia","Educação","Aposentado","Indiferente",1.89,28
"Catamarca","Segurança pública","Assalariado/Autônomo","Indiferente",2.31,33
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.9,42
"Nortúmbria","Educação","Desempregado","Satisfatório",1.29,18
"Aquitânia","Educação","Profissional liberal","Péssimo",7.46,49
"Catamarca","Segurança pública","Empresário","Péssimo",2.6,40
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.76,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.78,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.75,29
"Nortúmbria","Infraestrutura","Aposentado","Satisfatório",1.17,27
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.58,37
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.17,34
"Dalmácia","Educação","Funcionário público","Insatisfatório",2.47,29
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.47,31
"Dalmácia","Educação","Aposentado","Indiferente",1.53,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.28,24
"Catamarca","Educação","Aposentado","Indiferente",2.39,37
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.73,20
"Dalmácia","Educação","Profissional liberal","Indiferente",2.07,21
"Catamarca","Saúde pública","Assalariado/Autônomo","Insatisfatório",1.7,50
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",4.54,31
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.97,31
"Catamarca","Segurança pública","Empresário","Insatisfatório",2.75,38
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",2.83,35
"Dalmácia","Educação","Aposentado","Excelente",1.24,22
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.11,18
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.02,18
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",6.89,31
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.92,35
"Aquitânia","Segurança pública","Empresário","Péssimo",5.74,47
"Catamarca","Educação","Aposentado","Indiferente",2.32,37
"Catamarca","Saúde pública","Profissional liberal","Péssimo",3.54,38
"Aquitânia","Saúde pública","Empresário","Péssimo",3.73,50
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.95,22
"Dalmácia","Saúde pública","Aposentado","Indiferente",1.85,30
"Dalmácia","Educação","Funcionário público","Insatisfatório",4.65,29
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.08,26
"Querétaro","Educação","Funcionário público","Indiferente",2.16,37
"Dalmácia","Educação","Profissional liberal","Insatisfatório",2.64,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.39,29
"Nortúmbria","Educação","Aposentado","Satisfatório",1.71,18
"Dalmácia","Educação","Funcionário público","Insatisfatório",4.43,32
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",4.32,46
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.18,21
"Aquitânia","Saúde pública","Empresário","Péssimo",5.84,44
"Dalmácia","Educação","Desempregado","Indiferente",1.85,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.87,28
"Catamarca","Educação","Profissional liberal","Indiferente",2.21,39
"Dalmácia","Educação","Desempregado","Indiferente",2.38,30
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",4.51,26
"Aquitânia","Saúde pública","Empresário","Péssimo",5.75,57
"Nortúmbria","Educação","Aposentado","Satisfatório",1.47,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Insatisfatório",2.37,29
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",5.45,39
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.56,49
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Excelente",1.42,24
"Dalmácia","Infraestrutura","Desempregado","Indiferente",2.85,34
"Catamarca","Educação","Profissional liberal","Péssimo",3.55,41
"Nortúmbria","Educação","Funcionário público","Satisfatório",1.32,18
"Aquitânia","Saúde pública","Empresário","Péssimo",6.13,49
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",2.87,36
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.88,21
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.48,30
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.53,22
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.98,32
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.15,36
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",3.83,46
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.45,32
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",4.82,41
"Dalmácia","Educação","Funcionário público","Indiferente",2.02,37
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",3.78,34
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.35,50
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.36,18
"Dalmácia","Educação","Profissional liberal","Insatisfatório",2.09,32
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.52,37
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",5.45,46
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.39,30
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.06,39
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.04,38
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.45,32
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.8,25
"Dalmácia","Segurança pública","Assalariado/Autônomo","Péssimo",3.15,38
"Nortúmbria","Infraestrutura","Desempregado","Satisfatório",1.67,18
"Dalmácia","Educação","Desempregado","Indiferente",3.37,22
"Aquitânia","Saúde pública","Empresário","Péssimo",8.41,51
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",2.44,47
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.72,18
"Aquitânia","Segurança pública","Empresário","Péssimo",4.76,42
"Catamarca","Educação","Empresário","Insatisfatório",2.68,39
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.34,18
"Dalmácia","Saúde pública","Assalariado/Autônomo","Indiferente",1.88,28
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.76,24
"Dalmácia","Educação","Aposentado","Indiferente",1.89,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.49,38
"Aquitânia","Segurança pública","Profissional liberal","Péssimo",4.09,51
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.09,33
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",7.25,57
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",3.4,29
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.29,40
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",2.44,45
"Dalmácia","Segurança pública","Funcionário público","Indiferente",1.68,35
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",10.06,43
"Dalmácia","Educação","Profissional liberal","Satisfatório",1.67,23
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.81,35
"Dalmácia","Educação","Desempregado","Satisfatório",1.47,23
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.33,28
"Dalmácia","Educação","Aposentado","Indiferente",1.9,21
"Querétaro","Segurança pública","Profissional liberal","Péssimo",5.52,39
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.89,30
"Aquitânia","Saúde pública","Empresário","Péssimo",10.99,56
"Nortúmbria","Educação","Desempregado","Satisfatório",1.31,24
"Dalmácia","Saúde pública","Funcionário público","Indiferente",2.04,29
"Dalmácia","Educação","Funcionário público","Satisfatório",1.34,30
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.53,21
"Catamarca","Segurança pública","Profissional liberal","Péssimo",6.8,33
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.15,19
"Nortúmbria","Educação","Desempregado","Excelente",1.07,18
"Nortúmbria","Educação","Assalariado/Autônomo","Satisfatório",1.34,26
"Dalmácia","Educação","Funcionário público","Indiferente",1.49,25
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.62,33
"Aquitânia","Educação","Assalariado/Autônomo","Péssimo",7.45,43
"Dalmácia","Educação","Aposentado","Satisfatório",1.46,28
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.5,29
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.3,28
"Nortúmbria","Educação","Aposentado","Excelente",1.68,21
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.76,35
"Dalmácia","Infraestrutura","Funcionário público","Insatisfatório",2.77,31
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.19,49
"Querétaro","Infraestrutura","Profissional liberal","Indiferente",1.68,43
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.83,40
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.49,34
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.46,22
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.39,22
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.26,39
"Dalmácia","Educação","Profissional liberal","Indiferente",2.38,33
"Nortúmbria","Educação","Assalariado/Autônomo","Excelente",1.52,22
"Catamarca","Segurança pública","Empresário","Insatisfatório",2.44,38
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",4.07,43
"Dalmácia","Educação","Aposentado","Indiferente",1.56,22
"Catamarca","Educação","Profissional liberal","Insatisfatório",3.05,30
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",2.05,18
"Querétaro","Saúde pública","Funcionário público","Indiferente",2.13,22
"Dalmácia","Segurança pública","Aposentado","Indiferente",1.3,33
"Dalmácia","Segurança pública","Aposentado","Indiferente",2.09,32
"Dalmácia","Educação","Funcionário público","Satisfatório",1.46,31
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",3.74,34
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",6.25,31
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.62,55
"Nortúmbria","Educação","Desempregado","Excelente",1.11,21
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.32,34
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.53,32
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.46,29
"Dalmácia","Saúde pública","Assalariado/Autônomo","Insatisfatório",2.41,36
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.12,18
"Nortúmbria","Infraestrutura","Funcionário público","Excelente",1.11,23
"Nortúmbria","Educação","Desempregado","Satisfatório",1.28,24
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",4.14,41
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.26,30
"Aquitânia","Saúde pública","Empresário","Péssimo",7.3,50
"Catamarca","Educação","Funcionário público","Insatisfatório",2.86,37
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",4.36,30
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",1.94,45
"Catamarca","Saúde pública","Assalariado/Autônomo","Péssimo",1.92,42
"Catamarca","Educação","Funcionário público","Indiferente",2.5,32
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",4.52,49
"Aquitânia","Saúde pública","Empresário","Péssimo",11.87,52
"Nortúmbria","Educação","Aposentado","Satisfatório",1.51,19
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",1.63,34
"Dalmácia","Educação","Aposentado","Satisfatório",1.71,27
"Catamarca","Segurança pública","Profissional liberal","Péssimo",2.48,51
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.01,53
"Aquitânia","Segurança pública","Empresário","Péssimo",4.13,55
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.51,32
"Dalmácia","Infraestrutura","Aposentado","Satisfatório",1.57,22
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.08,26
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.62,37
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.11,34
"Dalmácia","Educação","Funcionário público","Satisfatório",1.46,18
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.25,48
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.49,24
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",2.67,36
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.6,33
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.37,19
"Catamarca","Saúde pública","Empresário","Péssimo",3.41,31
"Dalmácia","Educação","Funcionário público","Indiferente",1.44,33
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.15,37
"Dalmácia","Educação","Aposentado","Indiferente",2.32,28
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.12,47
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.28,18
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.71,32
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.56,34
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.14,46
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.3,36
"Catamarca","Educação","Funcionário público","Indiferente",3.26,33
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.32,18
"Catamarca","Segurança pública","Empresário","Péssimo",4.23,33
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.08,46
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",3.63,32
"Aquitânia","Saúde pública","Empresário","Péssimo",6.61,48
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",3.73,36
"Dalmácia","Infraestrutura","Aposentado","Excelente",1.13,38
"Nortúmbria","Educação","Aposentado","Excelente",1.02,18
"Dalmácia","Saúde pública","Assalariado/Autônomo","Indiferente",2.07,27
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.41,18
"Nortúmbria","Infraestrutura","Desempregado","Excelente",1.08,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.67,39
"Catamarca","Saúde pública","Profissional liberal","Péssimo",5.73,28
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.29,18
"Dalmácia","Educação","Funcionário público","Indiferente",2.53,22
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",2.26,25
"Dalmácia","Infraestrutura","Profissional liberal","Indiferente",1.69,76
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.27,32
"Dalmácia","Educação","Aposentado","Indiferente",4.14,23
"Nortúmbria","Infraestrutura","Aposentado","Satisfatório",1.33,25
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.03,29
"Nortúmbria","Educação","Funcionário público","Excelente",1.06,18
"Aquitânia","Educação","Profissional liberal","Péssimo",5.62,51
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.24,18
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.18,33
"Aquitânia","Saúde pública","Empresário","Péssimo",7.51,59
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Satisfatório",1.32,18
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",5.14,52
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",1.82,26
"Dalmácia","Educação","Assalariado/Autônomo","Péssimo",3.64,28
"Dalmácia","Segurança pública","Profissional liberal","Insatisfatório",1.77,38
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.92,34
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.25,33
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.17,34
"Catamarca","Educação","Assalariado/Autônomo","Indiferente",1.87,31
"Dalmácia","Educação","Funcionário público","Indiferente",1.9,18
"Nortúmbria","Educação","Desempregado","Excelente",1.26,23
"Dalmácia","Educação","Funcionário público","Satisfatório",1.7,22
"Aquitânia","Saúde pública","Empresário","Péssimo",10.08,65
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",3.28,38
"Aquitânia","Educação","Empresário","Péssimo",5.05,43
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",4.64,40
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",8.67,38
"Catamarca","Educação","Assalariado/Autônomo","Insatisfatório",3.17,33
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",4.52,40
"Nortúmbria","Infraestrutura","Desempregado","Indiferente",1.37,27
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",8.44,34
"Querétaro","Educação","Aposentado","Insatisfatório",3.94,28
"Dalmácia","Segurança pública","Assalariado/Autônomo","Indiferente",1.73,29
"Catamarca","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.12,42
"Catamarca","Educação","Empresário","Péssimo",6.37,36
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",5.12,51
"Dalmácia","Saúde pública","Assalariado/Autônomo","Péssimo",3.24,28
"Aquitânia","Saúde pública","Profissional liberal","Péssimo",4.97,62
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.25,38
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",1.55,36
"Dalmácia","Educação","Aposentado","Satisfatório",1.52,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",2.17,25
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.2,26
"Catamarca","Segurança pública","Profissional liberal","Péssimo",3.51,43
"Nortúmbria","Educação","Desempregado","Excelente",1.1,18
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.83,22
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",6.07,48
"Dalmácia","Segurança pública","Funcionário público","Indiferente",3.09,22
"Querétaro","Saúde pública","Assalariado/Autônomo","Indiferente",1.53,34
"Querétaro","Educação","Assalariado/Autônomo","Insatisfatório",2.61,37
"Catamarca","Educação","Profissional liberal","Péssimo",3.85,42
"Catamarca","Segurança pública","Profissional liberal","Péssimo",2.87,42
"Querétaro","Segurança pública","Assalariado/Autônomo","Insatisfatório",2.49,31
"Catamarca","Segurança pública","Profissional liberal","Insatisfatório",2.31,45
"Dalmácia","Educação","Assalariado/Autônomo","Satisfatório",1.8,36
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.23,29
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",5.74,36
"Aquitânia","Saúde pública","Empresário","Péssimo",4.73,50
